id,title,released,popularity,average_stars,total_votes,genres,overview
661791,The Grandmother,2022-01-28,510.927,5.9,237,['Horror'],"A Paris model must return to Madrid where her grandmother, who raised her, has had a stroke. But spending just a few days with this relative turns into an unexpected nightmare."
801071,The Jack in the Box: Awakening,2022-02-24,509.016,5.7,66,['Horror'],"When a vintage Jack-in-the-box is opened by a dying woman, she enters into a deal with the demon within that would see her illness cured in return for helping it claim six innocent victims."
169,Predator 2,1990-11-20,505.014,6.2,2434,"['Science Fiction', 'Action', 'Thriller']",A police chief in the war-torn streets of Los Angeles discovers that an extraterrestrial creature is hunting down residents - and that he is the next target.
629542,The Bad Guys,2022-03-17,503.835,7.8,903,"['Animation', 'Comedy', 'Family', 'Crime']","When the infamous Bad Guys are finally caught after years of countless heists and being the world’s most-wanted villains, Mr. Wolf brokers a deal to save them all from prison."
761898,Sword Art Online the Movie -Progressive- Aria of a Starless Night,2021-10-30,501.012,8.3,86,"['Animation', 'Action', 'Fantasy', 'Science Fiction']","One month after Kayaba Akihiko's game of death began, the death toll continues to rise, two thousand players having already lost their lives to the ultra-difficult VRMMO world of Sword Art Online. On the day of the strategy meeting to plan out the first-floor boss battle, Kirito, a solo player who vows to fight alone to get stronger, runs into a rare, high-level female player. She gracefully dispatches powerful monsters with a single rapier that flashes like a shooting star in the night..."
106,Predator,1987-06-12,497.051,7.5,6342,"['Science Fiction', 'Action', 'Adventure', 'Thriller']",A team of commandos on a mission in a Central American jungle find themselves hunted by an extraterrestrial warrior.
580489,Venom: Let There Be Carnage,2021-09-30,495.858,7.0,7794,"['Science Fiction', 'Action', 'Adventure']","After finding a host body in investigative reporter Eddie Brock, the alien symbiote must face a new enemy, Carnage, the alter ego of serial killer Cletus Kasady."
982543,V for Vengeance,2022-06-07,485.25,6.8,38,"['Horror', 'Action']","After learning that their younger sibling escaped an earlier kidnapping attempt that also killed their parents, two estranged sisters must join forces to rescue her from a group of bloodthirsty vampires. Out for revenge and control of a vampirism vaccine, Thorn and his band of the undead soon learn that they messed with the wrong family."
800345,Carter,2022-08-05,483.636,6.3,118,"['Action', 'Thriller']","A man wakes up missing his memories. Directed by a mysterious voice from a device in his ear, he sets off on a hostage rescue mission rife with danger."
829557,365 Days: This Day,2022-04-27,479.574,5.9,697,"['Romance', 'Drama']","Laura and Massimo are back and hotter than ever. But the reunited couple's new beginning is complicated by Massimo’s family ties and a mysterious man who enters Laura’s life to win her heart and trust, at any cost."
